"","Bacteria","Phage","Status"
"363","T21_3","P2T3_WT_3",0
"364","T21_4","P2T3_WT_3",0
"365","T21_6","P2T3_WT_3",0
"366","T21_7","P2T3_WT_3",0
"367","T21_8","P2T3_WT_3",0
"368","T21_9","P2T3_WT_3",0
"369","T21_10","P2T3_WT_3",0
"370","T21_11","P2T3_WT_3",0
"371","T21_12","P2T3_WT_3",0
"372","T21_13","P2T3_WT_3",0
"373","T21_14","P2T3_WT_3",0
"374","T21_15","P2T3_WT_3",0
"375","T21_16","P2T3_WT_3",0
"376","T21_17","P2T3_WT_3",0
"377","T21_18","P2T3_WT_3",0
"378","T21_19","P2T3_WT_3",0
"379","T21_20","P2T3_WT_3",0
"380","T21_21","P2T3_WT_3",0
"381","T21_22","P2T3_WT_3",0
"382","T21_23","P2T3_WT_3",0
"383","T21_24","P2T3_WT_3",0
"384","T21_25","P2T3_WT_3",0
"385","T3_2","P2T3_C-F-_3",1
"386","T3_4","P2T3_C-F-_3",1
"387","T3_6","P2T3_C-F-_3",1
"388","T3_7","P2T3_C-F-_3",1
"389","T3_8","P2T3_C-F-_3",1
"390","T3_10","P2T3_C-F-_3",1
"391","T3_11","P2T3_C-F-_3",1
"392","T3_12","P2T3_C-F-_3",1
"393","T3_13","P2T3_C-F-_3",1
"394","T3_9","P2T3_C-F-_3",1
"395","T3_3","P2T3_C-F-_3",0
"396","T3_5","P2T3_C-F-_3",0
"397","T3_1","P2T3_C-F-_3",1
"398","T9_7","P2T3_C-F-_3",1
"399","T9_3","P2T3_C-F-_3",0
"400","T6_1","P2T3_C-F-_3",0
"401","T6_2","P2T3_C-F-_3",0
"402","T6_5","P2T3_C-F-_3",0
"403","T6_6","P2T3_C-F-_3",0
"404","T6_8","P2T3_C-F-_3",0
"405","T6_10","P2T3_C-F-_3",0
"406","T6_12","P2T3_C-F-_3",0
"407","T9_9","P2T3_C-F-_3",0
"408","T6_3","P2T3_C-F-_3",0
"409","T6_4","P2T3_C-F-_3",0
"410","T6_7","P2T3_C-F-_3",0
"411","T6_9","P2T3_C-F-_3",0
"412","T6_11","P2T3_C-F-_3",0
"413","T6_13","P2T3_C-F-_3",0
"414","T9_1","P2T3_C-F-_3",0
"415","T9_2","P2T3_C-F-_3",0
"416","T9_4","P2T3_C-F-_3",0
"417","T9_5","P2T3_C-F-_3",0
"418","T9_6","P2T3_C-F-_3",0
"419","T9_8","P2T3_C-F-_3",0
"420","T9_10","P2T3_C-F-_3",0
"421","T9_11","P2T3_C-F-_3",0
"422","T9_12","P2T3_C-F-_3",0
"423","T9_13","P2T3_C-F-_3",0
"424","T12_9","P2T3_C-F-_3",0
"425","T12_10","P2T3_C-F-_3",0
"426","T12_2","P2T3_C-F-_3",0
"427","T12_3","P2T3_C-F-_3",0
"428","T12_5","P2T3_C-F-_3",0
"429","T12_6","P2T3_C-F-_3",0
"430","T12_7","P2T3_C-F-_3",0
"431","T12_8","P2T3_C-F-_3",0
"432","T12_12","P2T3_C-F-_3",0
"433","T12_13","P2T3_C-F-_3",0
"434","T12_4","P2T3_C-F-_3",0
"435","T12_1","P2T3_C-F-_3",0
"436","T15_18","P2T3_C-F-_3",0
"437","T15_9","P2T3_C-F-_3",0
"438","T15_13","P2T3_C-F-_3",0
"439","T15_21","P2T3_C-F-_3",0
"440","T15_8","P2T3_C-F-_3",0
"441","T15_20","P2T3_C-F-_3",0
"442","T15_5","P2T3_C-F-_3",0
"443","T15_16","P2T3_C-F-_3",0
"444","T15_4","P2T3_C-F-_3",0
"445","T15_12","P2T3_C-F-_3",0
"446","T15_22","P2T3_C-F-_3",0
"447","T15_25","P2T3_C-F-_3",0
"448","T21_5","P2T3_C-F-_3",0
"449","T15_1","P2T3_C-F-_3",0
"450","T15_2","P2T3_C-F-_3",0
"451","T15_10","P2T3_C-F-_3",0
"452","T15_11","P2T3_C-F-_3",0
"453","T15_19","P2T3_C-F-_3",0
"454","T15_23","P2T3_C-F-_3",0
"455","T15_24","P2T3_C-F-_3",0
"456","T15_6","P2T3_C-F-_3",0
"457","T21_2","P2T3_C-F-_3",0
"458","T15_15","P2T3_C-F-_3",0
"459","T15_3","P2T3_C-F-_3",0
"460","T15_14","P2T3_C-F-_3",0
"461","T18_9","P2T3_C-F-_3",0
"462","T18_17","P2T3_C-F-_3",0
"463","T18_19","P2T3_C-F-_3",0
"464","T18_25","P2T3_C-F-_3",0
"465","T18_21","P2T3_C-F-_3",0
"466","T18_22","P2T3_C-F-_3",0
"467","T15_7","P2T3_C-F-_3",0
"468","T18_2","P2T3_C-F-_3",0
"469","T18_3","P2T3_C-F-_3",0
"470","T18_4","P2T3_C-F-_3",0
"471","T18_6","P2T3_C-F-_3",0
"472","T18_7","P2T3_C-F-_3",0
"473","T18_15","P2T3_C-F-_3",0
"474","T18_1","P2T3_C-F-_3",0
"475","T18_24","P2T3_C-F-_3",0
"476","T18_11","P2T3_C-F-_3",0
"477","T18_12","P2T3_C-F-_3",0
"478","T18_16","P2T3_C-F-_3",0
"479","T18_18","P2T3_C-F-_3",0
"480","T18_8","P2T3_C-F-_3",0
"481","T18_13","P2T3_C-F-_3",0
"482","T18_23","P2T3_C-F-_3",0
"483","T18_10","P2T3_C-F-_3",0
"484","T18_20","P2T3_C-F-_3",0
"485","T18_26","P2T3_C-F-_3",0
"486","T18_14","P2T3_C-F-_3",0
"487","T12_11","P2T3_C-F-_3",0
"488","T15_17","P2T3_C-F-_3",0
"489","T18_5","P2T3_C-F-_3",0
"490","T21_1","P2T3_C-F-_3",0
"491","T21_3","P2T3_C-F-_3",0
"492","T21_4","P2T3_C-F-_3",0
"493","T21_6","P2T3_C-F-_3",0
"494","T21_7","P2T3_C-F-_3",0
"495","T21_8","P2T3_C-F-_3",0
"496","T21_9","P2T3_C-F-_3",0
"497","T21_10","P2T3_C-F-_3",0
"498","T21_11","P2T3_C-F-_3",0
"499","T21_12","P2T3_C-F-_3",0
"500","T21_13","P2T3_C-F-_3",0
"501","T21_14","P2T3_C-F-_3",0
"502","T21_15","P2T3_C-F-_3",0
"503","T21_16","P2T3_C-F-_3",0
"504","T21_17","P2T3_C-F-_3",0
"505","T21_18","P2T3_C-F-_3",0
"506","T21_19","P2T3_C-F-_3",0
"507","T21_20","P2T3_C-F-_3",0
"508","T21_21","P2T3_C-F-_3",0
"509","T21_22","P2T3_C-F-_3",0
"510","T21_23","P2T3_C-F-_3",0
"511","T21_24","P2T3_C-F-_3",0
"512","T21_25","P2T3_C-F-_3",0
"513","T3_2","P2T3_WT_1",1
"514","T3_4","P2T3_WT_1",1
"515","T3_6","P2T3_WT_1",1
"516","T3_7","P2T3_WT_1",1
"517","T3_8","P2T3_WT_1",1
"518","T3_10","P2T3_WT_1",1
"519","T3_11","P2T3_WT_1",1
"520","T3_12","P2T3_WT_1",1
"521","T3_13","P2T3_WT_1",1
"522","T3_9","P2T3_WT_1",1
"523","T3_3","P2T3_WT_1",1
"524","T3_5","P2T3_WT_1",1
"525","T3_1","P2T3_WT_1",0
"526","T9_7","P2T3_WT_1",0
"527","T9_3","P2T3_WT_1",0
"528","T6_1","P2T3_WT_1",0
"529","T6_2","P2T3_WT_1",0
"530","T6_5","P2T3_WT_1",0
"531","T6_6","P2T3_WT_1",0
"532","T6_8","P2T3_WT_1",0
"533","T6_10","P2T3_WT_1",0
"534","T6_12","P2T3_WT_1",0
"535","T9_9","P2T3_WT_1",1
"536","T6_3","P2T3_WT_1",0
"537","T6_4","P2T3_WT_1",0
"538","T6_7","P2T3_WT_1",0
"539","T6_9","P2T3_WT_1",0
"540","T6_11","P2T3_WT_1",0
"541","T6_13","P2T3_WT_1",0
"542","T9_1","P2T3_WT_1",0
"543","T9_2","P2T3_WT_1",0
"544","T9_4","P2T3_WT_1",0
"545","T9_5","P2T3_WT_1",0
"546","T9_6","P2T3_WT_1",0
"547","T9_8","P2T3_WT_1",0
"548","T9_10","P2T3_WT_1",0
"549","T9_11","P2T3_WT_1",0
"550","T9_12","P2T3_WT_1",0
"551","T9_13","P2T3_WT_1",0
"552","T12_9","P2T3_WT_1",0
"553","T12_10","P2T3_WT_1",0
"554","T12_2","P2T3_WT_1",0
"555","T12_3","P2T3_WT_1",0
"556","T12_5","P2T3_WT_1",0
"557","T12_6","P2T3_WT_1",0
"558","T12_7","P2T3_WT_1",0
"559","T12_8","P2T3_WT_1",0
"560","T12_12","P2T3_WT_1",0
"561","T12_13","P2T3_WT_1",0
"562","T12_4","P2T3_WT_1",0
"563","T12_1","P2T3_WT_1",0
"564","T15_18","P2T3_WT_1",0
"565","T15_9","P2T3_WT_1",0
"566","T15_13","P2T3_WT_1",0
"567","T15_21","P2T3_WT_1",0
"568","T15_8","P2T3_WT_1",0
"569","T15_20","P2T3_WT_1",0
"570","T15_5","P2T3_WT_1",0
"571","T15_16","P2T3_WT_1",0
"572","T15_4","P2T3_WT_1",0
"573","T15_12","P2T3_WT_1",0
"574","T15_22","P2T3_WT_1",0
"575","T15_25","P2T3_WT_1",0
"576","T21_5","P2T3_WT_1",0
"577","T15_1","P2T3_WT_1",0
"578","T15_2","P2T3_WT_1",0
"579","T15_10","P2T3_WT_1",0
"580","T15_11","P2T3_WT_1",0
"581","T15_19","P2T3_WT_1",0
"582","T15_23","P2T3_WT_1",0
"583","T15_24","P2T3_WT_1",0
"584","T15_6","P2T3_WT_1",0
"585","T21_2","P2T3_WT_1",0
"586","T15_15","P2T3_WT_1",0
"587","T15_3","P2T3_WT_1",0
"588","T15_14","P2T3_WT_1",0
"589","T18_9","P2T3_WT_1",0
"590","T18_17","P2T3_WT_1",0
"591","T18_19","P2T3_WT_1",0
"592","T18_25","P2T3_WT_1",0
"593","T18_21","P2T3_WT_1",0
"594","T18_22","P2T3_WT_1",0
"595","T15_7","P2T3_WT_1",0
"596","T18_2","P2T3_WT_1",0
"597","T18_3","P2T3_WT_1",0
"598","T18_4","P2T3_WT_1",0
"599","T18_6","P2T3_WT_1",0
"600","T18_7","P2T3_WT_1",0
"601","T18_15","P2T3_WT_1",0
"602","T18_1","P2T3_WT_1",0
"603","T18_24","P2T3_WT_1",0
"604","T18_11","P2T3_WT_1",0
"605","T18_12","P2T3_WT_1",0
"606","T18_16","P2T3_WT_1",0
"607","T18_18","P2T3_WT_1",0
"608","T18_8","P2T3_WT_1",0
"609","T18_13","P2T3_WT_1",0
"610","T18_23","P2T3_WT_1",0
"611","T18_10","P2T3_WT_1",0
"612","T18_20","P2T3_WT_1",0
"613","T18_26","P2T3_WT_1",0
"614","T18_14","P2T3_WT_1",0
"615","T12_11","P2T3_WT_1",0
"616","T15_17","P2T3_WT_1",0
"617","T18_5","P2T3_WT_1",0
"618","T21_1","P2T3_WT_1",0
"619","T21_3","P2T3_WT_1",0
"620","T21_4","P2T3_WT_1",0
"621","T21_6","P2T3_WT_1",0
"622","T21_7","P2T3_WT_1",0
"623","T21_8","P2T3_WT_1",0
"624","T21_9","P2T3_WT_1",0
"625","T21_10","P2T3_WT_1",0
"626","T21_11","P2T3_WT_1",0
"627","T21_12","P2T3_WT_1",0
"628","T21_13","P2T3_WT_1",0
"629","T21_14","P2T3_WT_1",0
"630","T21_15","P2T3_WT_1",0
"631","T21_16","P2T3_WT_1",0
"632","T21_17","P2T3_WT_1",0
"633","T21_18","P2T3_WT_1",0
"634","T21_19","P2T3_WT_1",0
"635","T21_20","P2T3_WT_1",0
"636","T21_21","P2T3_WT_1",0
"637","T21_22","P2T3_WT_1",0
"638","T21_23","P2T3_WT_1",0
"639","T21_24","P2T3_WT_1",0
"640","T21_25","P2T3_WT_1",0
"641","T3_2","P2T3_WT_2",1
"642","T3_4","P2T3_WT_2",1
"643","T3_6","P2T3_WT_2",1
"644","T3_7","P2T3_WT_2",1
