"","Phage","Bacteria","Status"
"262","P2T6_C-F-_1","T3_4",1
"263","P2T6_C-F-_2","T3_4",1
"264","P2T6_C-F-_3","T3_4",1
"265","P2T6_L-F-_1","T3_4",1
"266","P2T6_L-F-_2","T3_4",1
"267","P2T6_L-F-_3","T3_4",1
"268","P2T9_WT_1","T3_4",1
"269","P2T9_WT_2","T3_4",1
"270","P2T9_WT_3","T3_4",1
"271","P2T9_C-F-_1","T3_4",1
"272","P2T9_C-F-_2","T3_4",1
"273","P2T9_C-F-_3","T3_4",1
"274","P2T9_L-F-_1","T3_4",1
"275","P2T9_L-F-_2","T3_4",1
"276","P2T9_L-F-_3","T3_4",1
"277","P2T9_L-C-_1","T3_4",1
"278","P2T9_L-C-_2","T3_4",1
"279","P2T9_L-C-_3","T3_4",1
"280","P2T12_WT_1","T3_4",1
"281","P2T12_WT_2","T3_4",1
"282","P2T12_WT_3","T3_4",1
"283","P2T12_C-F-_1","T3_4",1
"284","P2T12_C-F-_2","T3_4",1
"285","P2T12_L-F-_1","T3_4",1
"286","P2T12_L-F-_2","T3_4",1
"287","P2T12_L-F-_3","T3_4",1
"288","P2T12_L-C-_1","T3_4",1
"289","P2T12_L-C-_2","T3_4",1
"290","P2T12_L-C-_3","T3_4",1
"291","P2T15_WT_1","T3_4",1
"292","P2T15_WT_2","T3_4",1
"293","P2T15_WT_3","T3_4",1
"294","P2T15_C-F-_1","T3_4",1
"295","P2T15_C-F-_2","T3_4",1
"296","P2T15_C-F-_3","T3_4",1
"297","P2T15_L-F-_1","T3_4",1
"298","P2T15_L-F-_2","T3_4",1
"299","P2T15_L-F-_3","T3_4",1
"300","P2T15_L-C-_1","T3_4",1
"301","P2T15_L-C-_2","T3_4",1
"302","P2T15_L-C-_3","T3_4",1
"303","P2T18_WT_1","T3_4",1
"304","P2T18_WT_2","T3_4",1
"305","P2T18_WT_3","T3_4",1
"306","P2T18_C-F-_1","T3_4",1
"307","P2T18_C-F-_2","T3_4",1
"308","P2T18_C-F-_3","T3_4",1
"309","P2T18_L-C-_1","T3_4",1
"310","P2T18_L-C-_2","T3_4",1
"311","P2T18_L-C-_3","T3_4",1
"312","P2T21_WT_1","T3_4",1
"313","P2T21_WT_2","T3_4",1
"314","P2T21_WT_3","T3_4",1
"315","P2T21_C-F-_1","T3_4",1
"316","P2T21_C-F-_2","T3_4",1
"317","P2T21_C-F-_3","T3_4",1
"318","P2T21_L-F-_1","T3_4",1
"319","P2T21_L-F-_2","T3_4",1
"320","P2T21_L-F-_3","T3_4",1
"321","P2T21_L-C-_1","T3_4",1
"322","P2T21_L-C-_2","T3_4",1
"323","P2T21_L-C-_3","T3_4",1
"324","P2T24_WT_1","T3_4",1
"325","P2T24_WT_2","T3_4",1
"326","P2T24_WT_3","T3_4",1
"327","P2T24_C-F-_1","T3_4",1
"328","P2T24_C-F-_2","T3_4",1
"329","P2T24_C-F-_3","T3_4",1
"330","P2T24_L-C-_1","T3_4",1
"331","P2T24_L-C-_2","T3_4",1
"332","P2T24_L-C-_3","T3_4",1
"333","P2T3_WT_1","T3_5",1
"334","P2T3_WT_2","T3_5",1
"335","P2T3_WT_3","T3_5",1
"336","P2T3_C-F-_1","T3_5",1
"337","P2T3_C-F-_2","T3_5",0
"338","P2T3_C-F-_3","T3_5",0
"339","P2T3_L-F-_1","T3_5",1
"340","P2T3_L-F-_2","T3_5",1
"341","P2T3_L-F-_3","T3_5",1
"342","P2T6_WT_1","T3_5",1
"343","P2T6_WT_2","T3_5",1
"344","P2T6_WT_3","T3_5",1
"345","P2T6_C-F-_1","T3_5",1
"346","P2T6_C-F-_2","T3_5",1
"347","P2T6_C-F-_3","T3_5",1
"348","P2T6_L-F-_1","T3_5",1
"349","P2T6_L-F-_2","T3_5",1
"350","P2T6_L-F-_3","T3_5",1
"351","P2T9_WT_1","T3_5",1
"352","P2T9_WT_2","T3_5",1
"353","P2T9_WT_3","T3_5",1
"354","P2T9_C-F-_1","T3_5",1
"355","P2T9_C-F-_2","T3_5",1
"356","P2T9_C-F-_3","T3_5",1
"357","P2T9_L-F-_1","T3_5",1
"358","P2T9_L-F-_2","T3_5",1
"359","P2T9_L-F-_3","T3_5",1
"360","P2T9_L-C-_1","T3_5",1
"361","P2T9_L-C-_2","T3_5",1
"362","P2T9_L-C-_3","T3_5",1
"363","P2T12_WT_1","T3_5",1
"364","P2T12_WT_2","T3_5",1
"365","P2T12_WT_3","T3_5",1
"366","P2T12_C-F-_1","T3_5",1
"367","P2T12_C-F-_2","T3_5",1
"368","P2T12_L-F-_1","T3_5",1
"369","P2T12_L-F-_2","T3_5",1
"370","P2T12_L-F-_3","T3_5",1
"371","P2T12_L-C-_1","T3_5",1
"372","P2T12_L-C-_2","T3_5",1
"373","P2T12_L-C-_3","T3_5",1
"374","P2T15_WT_1","T3_5",1
"375","P2T15_WT_2","T3_5",1
"376","P2T15_WT_3","T3_5",1
"377","P2T15_C-F-_1","T3_5",1
"378","P2T15_C-F-_2","T3_5",1
"379","P2T15_C-F-_3","T3_5",1
"380","P2T15_L-F-_1","T3_5",1
"381","P2T15_L-F-_2","T3_5",1
"382","P2T15_L-F-_3","T3_5",1
"383","P2T15_L-C-_1","T3_5",1
"384","P2T15_L-C-_2","T3_5",1
"385","P2T15_L-C-_3","T3_5",1
"386","P2T18_WT_1","T3_5",1
"387","P2T18_WT_2","T3_5",1
"388","P2T18_WT_3","T3_5",1
"389","P2T18_C-F-_1","T3_5",1
"390","P2T18_C-F-_2","T3_5",1
"391","P2T18_C-F-_3","T3_5",1
"392","P2T18_L-C-_1","T3_5",1
"393","P2T18_L-C-_2","T3_5",1
"394","P2T18_L-C-_3","T3_5",1
"395","P2T21_WT_1","T3_5",1
"396","P2T21_WT_2","T3_5",1
"397","P2T21_WT_3","T3_5",1
"398","P2T21_C-F-_1","T3_5",1
"399","P2T21_C-F-_2","T3_5",1
"400","P2T21_C-F-_3","T3_5",1
"401","P2T21_L-F-_1","T3_5",1
"402","P2T21_L-F-_2","T3_5",1
"403","P2T21_L-F-_3","T3_5",1
"404","P2T21_L-C-_1","T3_5",1
"405","P2T21_L-C-_2","T3_5",1
"406","P2T21_L-C-_3","T3_5",1
"407","P2T24_WT_1","T3_5",1
"408","P2T24_WT_2","T3_5",1
"409","P2T24_WT_3","T3_5",1
"410","P2T24_C-F-_1","T3_5",1
"411","P2T24_C-F-_2","T3_5",1
"412","P2T24_C-F-_3","T3_5",1
"413","P2T24_L-C-_1","T3_5",1
"414","P2T24_L-C-_2","T3_5",1
"415","P2T24_L-C-_3","T3_5",1
"416","P2T3_WT_1","T3_6",1
"417","P2T3_WT_2","T3_6",1
"418","P2T3_WT_3","T3_6",1
"419","P2T3_C-F-_1","T3_6",1
"420","P2T3_C-F-_2","T3_6",1
"421","P2T3_C-F-_3","T3_6",1
"422","P2T3_L-F-_1","T3_6",1
"423","P2T3_L-F-_2","T3_6",1
"424","P2T3_L-F-_3","T3_6",1
"425","P2T6_WT_1","T3_6",1
"426","P2T6_WT_2","T3_6",1
"427","P2T6_WT_3","T3_6",1
"428","P2T6_C-F-_1","T3_6",1
"429","P2T6_C-F-_2","T3_6",1
"430","P2T6_C-F-_3","T3_6",1
"431","P2T6_L-F-_1","T3_6",1
"432","P2T6_L-F-_2","T3_6",1
"433","P2T6_L-F-_3","T3_6",1
"434","P2T9_WT_1","T3_6",1
"435","P2T9_WT_2","T3_6",1
"436","P2T9_WT_3","T3_6",1
"437","P2T9_C-F-_1","T3_6",1
"438","P2T9_C-F-_2","T3_6",1
"439","P2T9_C-F-_3","T3_6",1
"440","P2T9_L-F-_1","T3_6",1
"441","P2T9_L-F-_2","T3_6",1
"442","P2T9_L-F-_3","T3_6",1
"443","P2T9_L-C-_1","T3_6",1
"444","P2T9_L-C-_2","T3_6",1
"445","P2T9_L-C-_3","T3_6",1
"446","P2T12_WT_1","T3_6",1
"447","P2T12_WT_2","T3_6",1
"448","P2T12_WT_3","T3_6",1
"449","P2T12_C-F-_1","T3_6",1
"450","P2T12_C-F-_2","T3_6",1
"451","P2T12_L-F-_1","T3_6",1
"452","P2T12_L-F-_2","T3_6",1
"453","P2T12_L-F-_3","T3_6",1
"454","P2T12_L-C-_1","T3_6",1
"455","P2T12_L-C-_2","T3_6",1
"456","P2T12_L-C-_3","T3_6",1
"457","P2T15_WT_1","T3_6",1
"458","P2T15_WT_2","T3_6",1
"459","P2T15_WT_3","T3_6",1
"460","P2T15_C-F-_1","T3_6",1
"461","P2T15_C-F-_2","T3_6",1
"462","P2T15_C-F-_3","T3_6",1
"463","P2T15_L-F-_1","T3_6",1
"464","P2T15_L-F-_2","T3_6",1
"465","P2T15_L-F-_3","T3_6",1
"466","P2T15_L-C-_1","T3_6",1
"467","P2T15_L-C-_2","T3_6",1
"468","P2T15_L-C-_3","T3_6",1
"469","P2T18_WT_1","T3_6",1
"470","P2T18_WT_2","T3_6",1
"471","P2T18_WT_3","T3_6",1
"472","P2T18_C-F-_1","T3_6",1
"473","P2T18_C-F-_2","T3_6",1
"474","P2T18_C-F-_3","T3_6",1
"475","P2T18_L-C-_1","T3_6",1
"476","P2T18_L-C-_2","T3_6",1
"477","P2T18_L-C-_3","T3_6",1
"478","P2T21_WT_1","T3_6",1
"479","P2T21_WT_2","T3_6",1
"480","P2T21_WT_3","T3_6",1
"481","P2T21_C-F-_1","T3_6",1
"482","P2T21_C-F-_2","T3_6",1
"483","P2T21_C-F-_3","T3_6",1
"484","P2T21_L-F-_1","T3_6",1
"485","P2T21_L-F-_2","T3_6",1
"486","P2T21_L-F-_3","T3_6",1
"487","P2T21_L-C-_1","T3_6",1
"488","P2T21_L-C-_2","T3_6",1
"489","P2T21_L-C-_3","T3_6",1
"490","P2T24_WT_1","T3_6",1
"491","P2T24_WT_2","T3_6",1
"492","P2T24_WT_3","T3_6",1
"493","P2T24_C-F-_1","T3_6",1
"494","P2T24_C-F-_2","T3_6",1
"495","P2T24_C-F-_3","T3_6",1
"496","P2T24_L-C-_1","T3_6",1
"497","P2T24_L-C-_2","T3_6",1
"498","P2T24_L-C-_3","T3_6",1
"499","P2T3_WT_1","T3_7",1
"500","P2T3_WT_2","T3_7",1
"501","P2T3_WT_3","T3_7",1
"502","P2T3_C-F-_1","T3_7",1
"503","P2T3_C-F-_2","T3_7",1
"504","P2T3_C-F-_3","T3_7",1
"505","P2T3_L-F-_1","T3_7",1
"506","P2T3_L-F-_2","T3_7",1
"507","P2T3_L-F-_3","T3_7",1
"508","P2T6_WT_1","T3_7",1
"509","P2T6_WT_2","T3_7",1
"510","P2T6_WT_3","T3_7",1
"511","P2T6_C-F-_1","T3_7",1
"512","P2T6_C-F-_2","T3_7",1
"513","P2T6_C-F-_3","T3_7",1
"514","P2T6_L-F-_1","T3_7",1
"515","P2T6_L-F-_2","T3_7",1
"516","P2T6_L-F-_3","T3_7",1
"517","P2T9_WT_1","T3_7",1
"518","P2T9_WT_2","T3_7",1
"519","P2T9_WT_3","T3_7",1
"520","P2T9_C-F-_1","T3_7",1
"521","P2T9_C-F-_2","T3_7",1
"522","P2T9_C-F-_3","T3_7",1
"523","P2T9_L-F-_1","T3_7",1
"524","P2T9_L-F-_2","T3_7",1
"525","P2T9_L-F-_3","T3_7",1
"526","P2T9_L-C-_1","T3_7",1
"527","P2T9_L-C-_2","T3_7",1
"528","P2T9_L-C-_3","T3_7",1
"529","P2T12_WT_1","T3_7",1
"530","P2T12_WT_2","T3_7",1
"531","P2T12_WT_3","T3_7",1
"532","P2T12_C-F-_1","T3_7",1
"533","P2T12_C-F-_2","T3_7",1
"534","P2T12_L-F-_1","T3_7",1
"535","P2T12_L-F-_2","T3_7",1
"536","P2T12_L-F-_3","T3_7",1
"537","P2T12_L-C-_1","T3_7",1
"538","P2T12_L-C-_2","T3_7",1
"539","P2T12_L-C-_3","T3_7",1
"540","P2T15_WT_1","T3_7",1
"541","P2T15_WT_2","T3_7",1
"542","P2T15_WT_3","T3_7",1
"543","P2T15_C-F-_1","T3_7",1
"544","P2T15_C-F-_2","T3_7",1
"545","P2T15_C-F-_3","T3_7",1
"546","P2T15_L-F-_1","T3_7",1
"547","P2T15_L-F-_2","T3_7",1
"548","P2T15_L-F-_3","T3_7",1
"549","P2T15_L-C-_1","T3_7",1
"550","P2T15_L-C-_2","T3_7",1
"551","P2T15_L-C-_3","T3_7",1
"552","P2T18_WT_1","T3_7",1
"553","P2T18_WT_2","T3_7",1
"554","P2T18_WT_3","T3_7",1
"555","P2T18_C-F-_1","T3_7",1
"556","P2T18_C-F-_2","T3_7",1
"557","P2T18_C-F-_3","T3_7",1
"558","P2T18_L-C-_1","T3_7",1
"559","P2T18_L-C-_2","T3_7",1
"560","P2T18_L-C-_3","T3_7",1
"561","P2T21_WT_1","T3_7",1
"562","P2T21_WT_2","T3_7",1
"563","P2T21_WT_3","T3_7",1
"564","P2T21_C-F-_1","T3_7",1
"565","P2T21_C-F-_2","T3_7",1
"566","P2T21_C-F-_3","T3_7",1
"567","P2T21_L-F-_1","T3_7",1
"568","P2T21_L-F-_2","T3_7",1
"569","P2T21_L-F-_3","T3_7",1
"570","P2T21_L-C-_1","T3_7",1
"571","P2T21_L-C-_2","T3_7",1
"572","P2T21_L-C-_3","T3_7",1
"573","P2T24_WT_1","T3_7",1
"574","P2T24_WT_2","T3_7",1
"575","P2T24_WT_3","T3_7",1
"576","P2T24_C-F-_1","T3_7",1
"577","P2T24_C-F-_2","T3_7",1
"578","P2T24_C-F-_3","T3_7",1
"579","P2T24_L-C-_1","T3_7",1
"580","P2T24_L-C-_2","T3_7",1
"581","P2T24_L-C-_3","T3_7",1
"582","P2T3_WT_1","T3_8",1
"583","P2T3_WT_2","T3_8",1
"584","P2T3_WT_3","T3_8",1
"585","P2T3_C-F-_1","T3_8",1
"586","P2T3_C-F-_2","T3_8",1
"587","P2T3_C-F-_3","T3_8",1
"588","P2T3_L-F-_1","T3_8",1
"589","P2T3_L-F-_2","T3_8",1
"590","P2T3_L-F-_3","T3_8",1
"591","P2T6_WT_1","T3_8",1
"592","P2T6_WT_2","T3_8",1
"593","P2T6_WT_3","T3_8",1
"594","P2T6_C-F-_1","T3_8",1
"595","P2T6_C-F-_2","T3_8",1
"596","P2T6_C-F-_3","T3_8",1
"597","P2T6_L-F-_1","T3_8",1
"598","P2T6_L-F-_2","T3_8",1
"599","P2T6_L-F-_3","T3_8",1
"600","P2T9_WT_1","T3_8",1
"601","P2T9_WT_2","T3_8",1
"602","P2T9_WT_3","T3_8",1
"603","P2T9_C-F-_1","T3_8",1
"604","P2T9_C-F-_2","T3_8",1
"605","P2T9_C-F-_3","T3_8",1
"606","P2T9_L-F-_1","T3_8",1
"607","P2T9_L-F-_2","T3_8",1
"608","P2T9_L-F-_3","T3_8",1
"609","P2T9_L-C-_1","T3_8",1
"610","P2T9_L-C-_2","T3_8",1
"611","P2T9_L-C-_3","T3_8",1
"612","P2T12_WT_1","T3_8",1
"613","P2T12_WT_2","T3_8",1
"614","P2T12_WT_3","T3_8",1
"615","P2T12_C-F-_1","T3_8",1
"616","P2T12_C-F-_2","T3_8",1
"617","P2T12_L-F-_1","T3_8",1
"618","P2T12_L-F-_2","T3_8",1
"619","P2T12_L-F-_3","T3_8",1
"620","P2T12_L-C-_1","T3_8",1
"621","P2T12_L-C-_2","T3_8",1
"622","P2T12_L-C-_3","T3_8",1
"623","P2T15_WT_1","T3_8",1
"624","P2T15_WT_2","T3_8",1
"625","P2T15_WT_3","T3_8",1
"626","P2T15_C-F-_1","T3_8",1
"627","P2T15_C-F-_2","T3_8",1
"628","P2T15_C-F-_3","T3_8",1
"629","P2T15_L-F-_1","T3_8",1
"630","P2T15_L-F-_2","T3_8",1
"631","P2T15_L-F-_3","T3_8",1
"632","P2T15_L-C-_1","T3_8",1
"633","P2T15_L-C-_2","T3_8",1
"634","P2T15_L-C-_3","T3_8",1
"635","P2T18_WT_1","T3_8",1
"636","P2T18_WT_2","T3_8",1
"637","P2T18_WT_3","T3_8",1
"638","P2T18_C-F-_1","T3_8",1
"639","P2T18_C-F-_2","T3_8",1
"640","P2T18_C-F-_3","T3_8",1
"641","P2T18_L-C-_1","T3_8",1
"642","P2T18_L-C-_2","T3_8",1
"643","P2T18_L-C-_3","T3_8",1
"644","P2T21_WT_1","T3_8",1
"645","P2T21_WT_2","T3_8",1
"646","P2T21_WT_3","T3_8",1
"647","P2T21_C-F-_1","T3_8",1
"648","P2T21_C-F-_2","T3_8",1
"649","P2T21_C-F-_3","T3_8",1
"650","P2T21_L-F-_1","T3_8",1
"651","P2T21_L-F-_2","T3_8",1
"652","P2T21_L-F-_3","T3_8",1
